Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1323513.17,83558.59,2202000.00,373,0,16,0,57,0,430,0,45,0.56433093081223,6036
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,9005824.66,545605.90,9427250.00,3295,0,168,0,483,0,3733,0,289,0.825796985986262,38976
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1837829.62,319507.87,16193500.00,4945,0,30,0,46,0,5714,0,151,0.7954779679248848,71340
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,305307.25,2334247.33,151442800.00,6173,0,0,26,0,48,0,6793,853,0.8897272313076154,88524
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,918783.50,1547154.55,145632600.00,5588,0,26,0,34,0,6161,0,836,0.894531801577072,80436
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,303175.65,2242348.37,151099400.00,5649,0,0,18,0,41,0,6204,823,0.8884331058719164,79164
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,299468.00,2483125.66,145074000.00,5088,0,0,27,0,62,0,5752,814,0.8887856836136508,72300
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,229506.54,1595051.01,151548600.00,5115,0,0,11,0,18,0,5836,813,0.8781073961580095,72108
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,297560.15,2075768.56,153810800.00,4801,13,0,21,0,39,0,5523,809,0.8740903111129344,70032
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,4982400.61,0.00,0,5429,0,51,0,166,0,6104,83,1.8535363217610692,35796
