Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1088762.88,191060.64,1962000.00,1644,0,1163,0,835,0,388,0,25,0.6877973972836532,4200
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,3441494.45,801081.32,8055000.00,14249,0,11436,0,8080,0,3145,0,209,0.7354194950681079,33360
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2536253.56,1591755.70,18486250.00,25553,0,7130,0,44284,0,6686,0,492,0.8085970236190015,77376
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,739478.20,1089947.18,149685000.00,15678,3234,0,8077,14860,765,8783,409,327,0.8978459357034712,88764
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,2056403.36,1317364.31,143803800.00,16590,0,8007,0,14971,0,8216,0,300,0.9039808098709052,80556
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,850903.98,965510.00,161228300.00,15548,2408,0,6922,14623,730,8103,330,311,0.9176351208111863,85512
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,799348.16,784290.00,146814000.00,13490,2463,0,7197,12667,974,6792,286,263,0.9240197188246966,73932
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,889106.39,751800.00,168270900.00,14021,2039,0,6713,13763,520,7379,352,286,0.9144542499632832,80628
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,490241.16,229955.00,141257600.00,5576,7007,0,5049,2546,9253,6078,342,244,0.9242983046306128,64716
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,9350469.45,0.00,0,8937,0,3085,0,7223,0,4064,103,1.0596632324823492,34944
