Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,114080.92,13304.26,907500.00,160,0,5,0,5,0,182,0,12,0.8727115100383791,1920
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,3078501.34,223324.96,2766250.00,969,0,46,0,173,0,1129,0,100,0.8243415663026574,11652
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,698091.74,131721.67,7178000.00,2254,0,20,0,21,0,2793,0,73,0.8735022682787066,30144
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,77247.16,2217741.37,118568200.00,5394,0,0,49,0,58,0,6955,878,0.9270444503571988,69612
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,612692.78,1390365.11,117217800.00,5073,0,29,0,42,0,6519,0,878,0.9306576106140091,65052
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,91154.61,1837123.01,124607700.00,5062,0,0,26,0,36,0,6506,886,0.9268591889860969,65568
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,108419.93,1973066.31,127966000.00,4914,0,0,30,0,42,0,6435,887,0.9342925832735396,63864
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,88778.55,1927615.87,135166500.00,5006,0,0,23,0,38,0,6483,865,0.918197925864065,64368
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,147234.69,1808102.42,143886600.00,4953,12,0,29,0,33,0,6453,865,0.9186637606972882,65556
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,1745615.95,0.00,0,3113,0,22,0,57,0,3752,61,1.5008668801967966,24324
